TRAVELER_ID,GENDER,AGE_GRP,INCOME,trip_day,TRAVEL_NUM,TRAVEL_STYL_1,TRAVEL_STYL_2,TRAVEL_STYL_3,TRAVEL_STYL_4,TRAVEL_STYL_5,TRAVEL_STYL_6,TRAVEL_STYL_7,TRAVEL_STYL_8,TRAVEL_MOTIVE_1,TRAVEL_COMPANIONS_NUM,SIDO,GUNGU,VISIT_AREA_NM,RESIDENCE_TIME_MIN,VISIT_AREA_TYPE_CD,REVISIT_YN,DGSTFN,REVISIT_INTENTION,RCMDTN_INTENTION,sort
a005191,1,20,5,1,4,4,3,3,4,4,4,4,4,9,1,서울,영등포구,타임스퀘어,60,4,1,4,3,3,1554
a017744,0,20,7,1,4,6,3,3,6,3,3,6,6,2,0,서울,관악구,타임스트림,30,4,0,4,4,4,1578
a005182,0,20,4,1,10,6,2,1,3,2,5,6,6,2,0,서울,종로구,탑골공원,30,1,0,5,5,5,1086
a001828,0,20,1,2,6,6,2,1,3,2,5,6,6,7,1,서울,종로구,탑골공원,30,1,0,4,3,3,1033
a013871,1,20,3,3,3,4,2,2,3,5,4,6,4,1,1,서울,강남구,탬버린즈 플래그십 스토어,90,3,0,5,5,5,407
a000425,1,20,6,1,2,4,2,2,3,5,4,6,4,8,1,서울,강남구,탬버린즈 플래그십 스토어,60,4,0,4,5,4,1895
a010165,1,20,3,1,2,4,4,2,4,4,2,5,4,1,1,경기,이천시,테르메덴,90,6,0,4,3,4,1142
a017885,1,20,3,1,1,4,4,2,4,4,2,5,4,3,1,경기,이천시,테르메덴,420,6,0,5,4,4,725
a001469,1,20,4,3,1,4,4,2,4,4,2,5,4,2,0,경기,이천시,테르메덴,150,6,0,5,5,5,290
a001618,1,20,5,2,3,4,1,1,4,5,4,3,7,2,0,서울,마포구,테이블에이,90,6,0,4,2,3,856
a011873,1,20,2,1,2,3,2,3,4,5,5,4,5,2,0,서울,종로구,통인시장,30,4,1,3,2,2,646
a003252,1,20,5,2,3,3,2,3,4,5,5,4,5,8,2,서울,종로구,통인시장,90,4,0,4,4,3,1088
a017546,1,20,4,1,4,3,2,3,4,5,5,4,5,7,0,서울,종로구,통인시장,30,4,0,4,3,3,84
a005633,0,20,5,1,1,3,2,3,4,5,5,4,5,3,1,서울,종로구,통인시장,30,4,0,3,3,4,210
a000984,0,20,6,5,10,3,2,3,4,5,5,4,5,7,0,서울,종로구,통인시장,30,4,0,2,2,2,752
a015683,1,20,3,2,1,3,2,1,2,5,5,1,7,7,1,인천,연수구,트라이보울,30,3,0,4,3,4,1785
a017818,0,20,3,1,3,3,1,2,2,4,6,2,4,1,1,인천,연수구,트리플스트리트,30,4,0,4,5,5,1550
a001244,1,20,6,3,2,3,1,2,2,4,6,2,4,4,2,인천,연수구,트리플스트리트,90,4,1,5,5,5,977
a001965,1,20,3,2,6,3,1,2,2,4,6,2,4,1,0,인천,연수구,트리플스트리트,30,4,0,3,2,2,1292
a008375,1,20,5,3,1,3,1,2,2,4,6,2,4,3,2,인천,연수구,트리플스트리트,30,4,0,3,3,3,1280
a005655,0,20,1,1,2,3,1,2,2,4,6,2,4,3,1,인천,연수구,트리플스트리트,90,4,1,5,5,5,1796
a001866,1,20,5,2,10,6,1,5,2,2,4,5,2,2,1,서울,종로구,티오엠 1관,150,3,1,5,5,5,1821
a005423,0,20,5,2,1,3,3,3,5,4,4,5,4,2,0,서울,종로구,틴틴홀,120,3,0,5,5,5,1623
a010251,0,20,2,1,3,3,3,3,5,4,4,5,4,5,0,서울,종로구,틴틴홀,120,3,0,5,5,5,1278
a000751,1,20,1,3,6,3,3,3,5,4,4,5,4,4,0,서울,종로구,틴틴홀,120,3,0,4,4,4,1269
a003204,1,20,3,3,2,3,1,2,4,4,4,4,3,3,1,인천,중구,파라다이스시티,30,7,0,3,3,3,1354
a003204,1,20,3,3,2,3,1,2,4,4,4,4,3,3,1,인천,중구,파라다이스시티,180,6,0,5,5,5,1355
a003204,1,20,3,3,2,3,1,2,4,4,4,4,3,3,1,인천,중구,파라다이스시티,120,6,0,3,5,5,1352
a003204,1,20,3,3,2,3,1,2,4,4,4,4,3,3,1,인천,중구,파라다이스시티,60,4,0,4,4,4,1351
a017998,0,20,6,1,1,4,3,2,5,5,4,4,4,4,0,서울,서초구,파미에스테이션,90,4,1,4,5,5,981
a004029,1,20,1,2,1,4,3,2,5,5,4,4,4,1,0,서울,서초구,파미에스테이션,60,4,0,5,5,5,1682
a015803,0,20,2,3,6,4,3,2,5,5,4,4,4,6,0,서울,서초구,파미에스테이션,120,4,1,4,5,5,342
a017965,1,20,4,1,2,1,4,1,4,7,7,7,1,7,0,경기,파주시,파주삼릉,30,2,0,3,2,1,954
a007597,0,20,3,1,2,2,2,2,2,4,2,4,4,1,1,경기,파주시,파주출판도시,60,3,1,4,4,5,1281
a001354,1,20,4,1,3,2,2,2,2,4,2,4,4,1,3,경기,파주시,파주출판도시,30,3,1,5,5,5,1526
a001321,1,20,2,2,4,3,2,2,4,4,3,5,6,1,1,경기,파주시,파주프리미엄아울렛,240,4,0,4,4,4,1913
a006026,1,20,8,1,2,3,2,2,4,4,3,5,6,5,1,경기,파주시,파주프리미엄아울렛,120,4,1,5,5,5,1287
